Portfolio,Agency,Account,Type,Opening Balance ($'000),Receipts (Non Appropriated) ($'000),Receipts (Appropriated) ($'000),Payments ($'000),Adjustments ($'000),Closing Balance ($'000)
FOREIGN AFFAIRS AND TRADE PORTFOLIO,,Total: Australian Trade and Investment Commission,Agency Resourcing 2024-2025,40,0,0,0,0,40
FOREIGN AFFAIRS AND TRADE PORTFOLIO,,Total: Australian Trade and Investment Commission,Estimated Actual 2023-2024,108,0,0,-68,0,40
HEALTH AND AGED CARE PORTFOLIO,Department of Health and Aged Care,Australian Immunisation Register Special Account 2016,Agency Resourcing 2024-2025,9224,3853,7133,-9819,0,10391
HEALTH AND AGED CARE PORTFOLIO,Department of Health and Aged Care,Australian Immunisation Register Special Account 2016,Estimated Actual 2023-2024,8057,3853,7133,-9819,0,9224
HEALTH AND AGED CARE PORTFOLIO,Department of Health and Aged Care,Biomedical Translation Fund Special Account 2023,Agency Resourcing 2024-2025,62120,0,0,0,0,62120
HEALTH AND AGED CARE PORTFOLIO,Department of Health and Aged Care,Biomedical Translation Fund Special Account 2023,Estimated Actual 2023-2024,0,0,69621,-7501,0,62120
HEALTH AND AGED CARE PORTFOLIO,Department of Health and Aged Care,Gene Technology Account,Agency Resourcing 2024-2025,9086,139,7956,-7583,0,9598
HEALTH AND AGED CARE PORTFOLIO,Department of Health and Aged Care,Gene Technology Account,Estimated Actual 2023-2024,9086,139,11094,-11233,0,9086
HEALTH AND AGED CARE PORTFOLIO,Department of Health and Aged Care,Health SOETM Special Account 2021,Agency Resourcing 2024-2025,368206,0,11478,-11478,0,368206
HEALTH AND AGED CARE PORTFOLIO,Department of Health and Aged Care,Health SOETM Special Account 2021,Estimated Actual 2023-2024,368206,0,10931,-10931,0,368206
HEALTH AND AGED CARE PORTFOLIO,Department of Health and Aged Care,Industrial Chemicals Special Account,Agency Resourcing 2024-2025,37491,20914,1802,-22228,0,37979
HEALTH AND AGED CARE PORTFOLIO,Department of Health and Aged Care,Industrial Chemicals Special Account,Estimated Actual 2023-2024,36564,20891,760,-20724,0,37491
HEALTH AND AGED CARE PORTFOLIO,Department of Health and Aged Care,Medicare Guarantee Fund (Health) Special Account,Agency Resourcing 2024-2025,5241726,0,0,-50410609,49608262,4439379
HEALTH AND AGED CARE PORTFOLIO,Department of Health and Aged Care,Medicare Guarantee Fund (Health) Special Account,Estimated Actual 2023-2024,5241726,0,0,-47540157,47540157,5241726
HEALTH AND AGED CARE PORTFOLIO,Department of Health and Aged Care,MRFF Health Special Account,Agency Resourcing 2024-2025,114455,0,0,-650000,650000,114455
HEALTH AND AGED CARE PORTFOLIO,Department of Health and Aged Care,MRFF Health Special Account,Estimated Actual 2023-2024,114455,0,0,-650000,650000,114455
HEALTH AND AGED CARE PORTFOLIO,Department of Health and Aged Care,Sport and Recreation Special Account 2016,Agency Resourcing 2024-2025,182,0,0,0,0,182
HEALTH AND AGED CARE PORTFOLIO,Department of Health and Aged Care,Sport and Recreation Special Account 2016,Estimated Actual 2023-2024,182,0,0,0,0,182
HEALTH AND AGED CARE PORTFOLIO,Department of Health and Aged Care,Therapeutic Goods Administration Account,Agency Resourcing 2024-2025,60102,202532,57621,-263083,0,57172
HEALTH AND AGED CARE PORTFOLIO,Department of Health and Aged Care,Therapeutic Goods Administration Account,Estimated Actual 2023-2024,71623,195531,34777,-241829,0,60102
HEALTH AND AGED CARE PORTFOLIO,,Total: Department of Health and Aged Care,Agency Resourcing 2024-2025,5902592,227438,85990,-51374800,50258262,5099482
HEALTH AND AGED CARE PORTFOLIO,,Total: Department of Health and Aged Care,Estimated Actual 2023-2024,5849899,220414,134316,-48492194,48190157,5902592
HEALTH AND AGED CARE PORTFOLIO,Australian National Preventive Health Agency,ANPHA Special Account,Agency Resourcing 2024-2025,12383,0,0,0,0,12383
HEALTH AND AGED CARE PORTFOLIO,Australian National Preventive Health Agency,ANPHA Special Account,Estimated Actual 2023-2024,12383,0,0,0,0,12383
HEALTH AND AGED CARE PORTFOLIO,,Total: Australian National Preventive Health Agency,Agency Resourcing 2024-2025,12383,0,0,0,0,12383
HEALTH AND AGED CARE PORTFOLIO,,Total: Australian National Preventive Health Agency,Estimated Actual 2023-2024,12383,0,0,0,0,12383
HEALTH AND AGED CARE PORTFOLIO,Australian Radiation Protection and Nuclear Safety Agency,ARPANSA Account,Agency Resourcing 2024-2025,1357,14993,19984,-34977,0,1357
HEALTH AND AGED CARE PORTFOLIO,Australian Radiation Protection and Nuclear Safety Agency,ARPANSA Account,Estimated Actual 2023-2024,1357,13424,19962,-33386,0,1357
HEALTH AND AGED CARE PORTFOLIO,,Total: Australian Radiation Protection and Nuclear Safety Agency,Agency Resourcing 2024-2025,1357,14993,19984,-34977,0,1357
HEALTH AND AGED CARE PORTFOLIO,,Total: Australian Radiation Protection and Nuclear Safety Agency,Estimated Actual 2023-2024,1357,13424,19962,-33386,0,1357
HEALTH AND AGED CARE PORTFOLIO,National Blood Authority,National Blood Account,Agency Resourcing 2024-2025,246182,1858862,17531,-1862921,0,259654
HEALTH AND AGED CARE PORTFOLIO,National Blood Authority,National Blood Account,Estimated Actual 2023-2024,233088,1704067,15447,-1706420,0,246182
HEALTH AND AGED CARE PORTFOLIO,National Blood Authority,NMF Blood and Blood Products Special Account 2017,Agency Resourcing 2024-2025,1681,13302,0,-10672,0,4311
HEALTH AND AGED CARE PORTFOLIO,National Blood Authority,NMF Blood and Blood Products Special Account 2017,Estimated Actual 2023-2024,2058,10295,0,-10672,0,1681
HEALTH AND AGED CARE PORTFOLIO,,Total: National Blood Authority,Agency Resourcing 2024-2025,247863,1872164,17531,-1873593,0,263965
HEALTH AND AGED CARE PORTFOLIO,,Total: National Blood Authority,Estimated Actual 2023-2024,235146,1714362,15447,-1717092,0,247863
HEALTH AND AGED CARE PORTFOLIO,National Health and Medical Research Council,Medical Research Endowment Account,Agency Resourcing 2024-2025,304518,10000,940330,-984155,0,270693
HEALTH AND AGED CARE PORTFOLIO,National Health and Medical Research Council,Medical Research Endowment Account,Estimated Actual 2023-2024,329746,10000,910652,-945880,0,304518
HEALTH AND AGED CARE PORTFOLIO,,Total: National Health and Medical Research Council,Agency Resourcing 2024-2025,304518,10000,940330,-984155,0,270693
HEALTH AND AGED CARE PORTFOLIO,,Total: National Health and Medical Research Council,Estimated Actual 2023-2024,329746,10000,910652,-945880,0,304518
HOME AFFAIRS PORTFOLIO,Department of Home Affairs,Home Affairs SOETM Special Account 2018,Agency Resourcing 2024-2025,1473,0,0,0,0,1473
HOME AFFAIRS PORTFOLIO,Department of Home Affairs,Home Affairs SOETM Special Account 2018,Estimated Actual 2023-2024,1473,0,0,0,0,1473
HOME AFFAIRS PORTFOLIO,,Total: Department of Home Affairs,Agency Resourcing 2024-2025,1473,0,0,0,0,1473
HOME AFFAIRS PORTFOLIO,,Total: Department of Home Affairs,Estimated Actual 2023-2024,1473,0,0,0,0,1473
"INDUSTRY, SCIENCE AND RESOURCES PORTFOLIO","Department of Industry, Science and Resources",ABCB Special Account 2019,Agency Resourcing 2024-2025,3855,6635,4000,-14490,0,0
"INDUSTRY, SCIENCE AND RESOURCES PORTFOLIO","Department of Industry, Science and Resources",ABCB Special Account 2019,Estimated Actual 2023-2024,8539,5412,4000,-14096,0,3855
"INDUSTRY, SCIENCE AND RESOURCES PORTFOLIO","Department of Industry, Science and Resources","Industry, Science and Resources SOETM Special Account 2021",Agency Resourcing 2024-2025,8858,0,0,0,0,8858
"INDUSTRY, SCIENCE AND RESOURCES PORTFOLIO","Department of Industry, Science and Resources","Industry, Science and Resources SOETM Special Account 2021",Estimated Actual 2023-2024,9049,0,0,-191,0,8858
"INDUSTRY, SCIENCE AND RESOURCES PORTFOLIO","Department of Industry, Science and Resources","Innovation, Science and Technology - Donations, Bequests and Sponsorship Special Account 2016",Agency Resourcing 2024-2025,116,5,0,0,0,121
"INDUSTRY, SCIENCE AND RESOURCES PORTFOLIO","Department of Industry, Science and Resources","Innovation, Science and Technology - Donations, Bequests and Sponsorship Special Account 2016",Estimated Actual 2023-2024,856,93,0,-833,0,116
"INDUSTRY, SCIENCE AND RESOURCES PORTFOLIO","Department of Industry, Science and Resources",National Offshore Petroleum Titles Administrator Special Account,Agency Resourcing 2024-2025,6848,23059,0,-24218,0,5689
"INDUSTRY, SCIENCE AND RESOURCES PORTFOLIO","Department of Industry, Science and Resources",National Offshore Petroleum Titles Administrator Special Account,Estimated Actual 2023-2024,11552,17700,540,-22944,0,6848
"INDUSTRY, SCIENCE AND RESOURCES PORTFOLIO","Department of Industry, Science and Resources",National Reconstruction Fund Corporation Special Account,Agency Resourcing 2024-2025,4950000,0,0,-550000,0,4400000
"INDUSTRY, SCIENCE AND RESOURCES PORTFOLIO","Department of Industry, Science and Resources",National Reconstruction Fund Corporation Special Account,Estimated Actual 2023-2024,0,0,0,-50000,5000000,4950000
"INDUSTRY, SCIENCE AND RESOURCES PORTFOLIO","Department of Industry, Science and Resources",Offshore Infrastructure Registrar Special Account,Agency Resourcing 2024-2025,10948,15579,675,-14918,0,12284
"INDUSTRY, SCIENCE AND RESOURCES PORTFOLIO","Department of Industry, Science and Resources",Offshore Infrastructure Registrar Special Account,Estimated Actual 2023-2024,11100,10939,664,-11755,0,10948
"INDUSTRY, SCIENCE AND RESOURCES PORTFOLIO","Department of Industry, Science and Resources",Ranger Rehabilitation Special Account 2017,Agency Resourcing 2024-2025,510636,20794,0,-72953,0,458477
"INDUSTRY, SCIENCE AND RESOURCES PORTFOLIO","Department of Industry, Science and Resources",Ranger Rehabilitation Special Account 2017,Estimated Actual 2023-2024,488866,21770,0,0,0,510636
"INDUSTRY, SCIENCE AND RESOURCES PORTFOLIO",,"Total: Department of Industry, Science and Resources",Agency Resourcing 2024-2025,5491261,66072,4675,-676579,0,4885429
"INDUSTRY, SCIENCE AND RESOURCES PORTFOLIO",,"Total: Department of Industry, Science and Resources",Estimated Actual 2023-2024,529962,55914,5204,-99819,5000000,5491261
"INDUSTRY, SCIENCE AND RESOURCES PORTFOLIO",IP Australia,Intellectual Property Special Account 2017,Agency Resourcing 2024-2025,79821,278538,380,-274854,0,83885
"INDUSTRY, SCIENCE AND RESOURCES PORTFOLIO",IP Australia,Intellectual Property Special Account 2017,Estimated Actual 2023-2024,74961,257840,371,-253351,0,79821
"INDUSTRY, SCIENCE AND RESOURCES PORTFOLIO",,Total: IP Australia,Agency Resourcing 2024-2025,79821,278538,380,-274854,0,83885
"INDUSTRY, SCIENCE AND RESOURCES PORTFOLIO",,Total: IP Australia,Estimated Actual 2023-2024,74961,257840,371,-253351,0,79821
"INFRASTRUCTURE, TRANSPORT, REGIONAL DEVELOPMENT, COMMUNICATIONS AND THE ARTS PORTFOLIO","Department of Infrastructure, Transport, Regional Development, Communications and the Arts",Art Rental Special Account 2016,Agency Resourcing 2024-2025,4530,3680,0,-2982,0,5228
"INFRASTRUCTURE, TRANSPORT, REGIONAL DEVELOPMENT, COMMUNICATIONS AND THE ARTS PORTFOLIO","Department of Infrastructure, Transport, Regional Development, Communications and the Arts",Art Rental Special Account 2016,Estimated Actual 2023-2024,3832,3680,0,-2982,0,4530
"INFRASTRUCTURE, TRANSPORT, REGIONAL DEVELOPMENT, COMMUNICATIONS AND THE ARTS PORTFOLIO","Department of Infrastructure, Transport, Regional Development, Communications and the Arts",Christmas Island Phosphate Mining Rehabilitation Special Account 2016,Agency Resourcing 2024-2025,2321,1200,0,-1200,0,2321
"INFRASTRUCTURE, TRANSPORT, REGIONAL DEVELOPMENT, COMMUNICATIONS AND THE ARTS PORTFOLIO","Department of Infrastructure, Transport, Regional Development, Communications and the Arts",Christmas Island Phosphate Mining Rehabilitation Special Account 2016,Estimated Actual 2023-2024,2321,1200,0,-1200,0,2321
"INFRASTRUCTURE, TRANSPORT, REGIONAL DEVELOPMENT, COMMUNICATIONS AND THE ARTS PORTFOLIO","Department of Infrastructure, Transport, Regional Development, Communications and the Arts",Indian Ocean Territories Special Account 2014,Agency Resourcing 2024-2025,0,0,0,0,0,0
"INFRASTRUCTURE, TRANSPORT, REGIONAL DEVELOPMENT, COMMUNICATIONS AND THE ARTS PORTFOLIO","Department of Infrastructure, Transport, Regional Development, Communications and the Arts",Indian Ocean Territories Special Account 2014,Estimated Actual 2023-2024,11189,0,0,0,-11189,0
"INFRASTRUCTURE, TRANSPORT, REGIONAL DEVELOPMENT, COMMUNICATIONS AND THE ARTS PORTFOLIO","Department of Infrastructure, Transport, Regional Development, Communications and the Arts","Indian Ocean, Jervis Bay and Norfolk Island Territories Special Account 2023",Agency Resourcing 2024-2025,12768,19316,0,-19316,0,12768
"INFRASTRUCTURE, TRANSPORT, REGIONAL DEVELOPMENT, COMMUNICATIONS AND THE ARTS PORTFOLIO","Department of Infrastructure, Transport, Regional Development, Communications and the Arts","Indian Ocean, Jervis Bay and Norfolk Island Territories Special Account 2023",Estimated Actual 2023-2024,0,19165,0,-19165,12768,12768
"INFRASTRUCTURE, TRANSPORT, REGIONAL DEVELOPMENT, COMMUNICATIONS AND THE ARTS PORTFOLIO","Department of Infrastructure, Transport, Regional Development, Communications and the Arts",Indigenous Repatriation Special Account 2016,Agency Resourcing 2024-2025,3476,0,706,-706,0,3476
"INFRASTRUCTURE, TRANSPORT, REGIONAL DEVELOPMENT, COMMUNICATIONS AND THE ARTS PORTFOLIO","Department of Infrastructure, Transport, Regional Development, Communications and the Arts",Indigenous Repatriation Special Account 2016,Estimated Actual 2023-2024,3476,0,706,-706,0,3476
"INFRASTRUCTURE, TRANSPORT, REGIONAL DEVELOPMENT, COMMUNICATIONS AND THE ARTS PORTFOLIO","Department of Infrastructure, Transport, Regional Development, Communications and the Arts","Infrastructure, Transport, Regional Development and Communications SOETM Special Account 2021",Agency Resourcing 2024-2025,447,196,196,-392,0,447
"INFRASTRUCTURE, TRANSPORT, REGIONAL DEVELOPMENT, COMMUNICATIONS AND THE ARTS PORTFOLIO","Department of Infrastructure, Transport, Regional Development, Communications and the Arts","Infrastructure, Transport, Regional Development and Communications SOETM Special Account 2021",Estimated Actual 2023-2024,447,196,198,-394,0,447
"INFRASTRUCTURE, TRANSPORT, REGIONAL DEVELOPMENT, COMMUNICATIONS AND THE ARTS PORTFOLIO","Department of Infrastructure, Transport, Regional Development, Communications and the Arts",Jervis Bay Territory Special Account 2014,Agency Resourcing 2024-2025,0,0,0,0,0,0
"INFRASTRUCTURE, TRANSPORT, REGIONAL DEVELOPMENT, COMMUNICATIONS AND THE ARTS PORTFOLIO","Department of Infrastructure, Transport, Regional Development, Communications and the Arts",Jervis Bay Territory Special Account 2014,Estimated Actual 2023-2024,1579,0,0,0,-1579,0
"INFRASTRUCTURE, TRANSPORT, REGIONAL DEVELOPMENT, COMMUNICATIONS AND THE ARTS PORTFOLIO","Department of Infrastructure, Transport, Regional Development, Communications and the Arts",Melbourne Airport New Runway Land Acquisition Special Account,Agency Resourcing 2024-2025,47,0,0,0,0,47
"INFRASTRUCTURE, TRANSPORT, REGIONAL DEVELOPMENT, COMMUNICATIONS AND THE ARTS PORTFOLIO","Department of Infrastructure, Transport, Regional Development, Communications and the Arts",Melbourne Airport New Runway Land Acquisition Special Account,Estimated Actual 2023-2024,47,0,0,0,0,47
"INFRASTRUCTURE, TRANSPORT, REGIONAL DEVELOPMENT, COMMUNICATIONS AND THE ARTS PORTFOLIO","Department of Infrastructure, Transport, Regional Development, Communications and the Arts",National Cultural Heritage Account,Agency Resourcing 2024-2025,0,0,500,-500,0,0
"INFRASTRUCTURE, TRANSPORT, REGIONAL DEVELOPMENT, COMMUNICATIONS AND THE ARTS PORTFOLIO","Department of Infrastructure, Transport, Regional Development, Communications and the Arts",National Cultural Heritage Account,Estimated Actual 2023-2024,0,0,500,-500,0,0
"INFRASTRUCTURE, TRANSPORT, REGIONAL DEVELOPMENT, COMMUNICATIONS AND THE ARTS PORTFOLIO","Department of Infrastructure, Transport, Regional Development, Communications and the Arts",Public Interest Telecommunications Services Special Account,Agency Resourcing 2024-2025,64103,0,100000,-316947,216947,64103
"INFRASTRUCTURE, TRANSPORT, REGIONAL DEVELOPMENT, COMMUNICATIONS AND THE ARTS PORTFOLIO","Department of Infrastructure, Transport, Regional Development, Communications and the Arts",Public Interest Telecommunications Services Special Account,Estimated Actual 2023-2024,49130,0,100000,-318033,233006,64103
"INFRASTRUCTURE, TRANSPORT, REGIONAL DEVELOPMENT, COMMUNICATIONS AND THE ARTS PORTFOLIO","Department of Infrastructure, Transport, Regional Development, Communications and the Arts",Regional Broadband Scheme Special Account,Agency Resourcing 2024-2025,59,0,0,-42015,42015,59
"INFRASTRUCTURE, TRANSPORT, REGIONAL DEVELOPMENT, COMMUNICATIONS AND THE ARTS PORTFOLIO","Department of Infrastructure, Transport, Regional Development, Communications and the Arts",Regional Broadband Scheme Special Account,Estimated Actual 2023-2024,59,0,0,-40375,40375,59
"INFRASTRUCTURE, TRANSPORT, REGIONAL DEVELOPMENT, COMMUNICATIONS AND THE ARTS PORTFOLIO",,"Total: Department of Infrastructure, Transport, Regional Development, Communications and the Arts",Agency Resourcing 2024-2025,87751,24392,101402,-384058,258962,88449
"INFRASTRUCTURE, TRANSPORT, REGIONAL DEVELOPMENT, COMMUNICATIONS AND THE ARTS PORTFOLIO",,"Total: Department of Infrastructure, Transport, Regional Development, Communications and the Arts",Estimated Actual 2023-2024,72080,24241,101404,-383355,273381,87751
"INFRASTRUCTURE, TRANSPORT, REGIONAL DEVELOPMENT, COMMUNICATIONS AND THE ARTS PORTFOLIO",Australian Communications and Media Authority,Australian Communications and Media Authority SOETM Special Account 2022,Agency Resourcing 2024-2025,0,50,0,-50,0,0
"INFRASTRUCTURE, TRANSPORT, REGIONAL DEVELOPMENT, COMMUNICATIONS AND THE ARTS PORTFOLIO",Australian Communications and Media Authority,Australian Communications and Media Authority SOETM Special Account 2022,Estimated Actual 2023-2024,0,50,0,-50,0,0
"INFRASTRUCTURE, TRANSPORT, REGIONAL DEVELOPMENT, COMMUNICATIONS AND THE ARTS PORTFOLIO",Australian Communications and Media Authority,Online Safety Special Account,Agency Resourcing 2024-2025,7222,0,45420,-45420,0,7222
"INFRASTRUCTURE, TRANSPORT, REGIONAL DEVELOPMENT, COMMUNICATIONS AND THE ARTS PORTFOLIO",Australian Communications and Media Authority,Online Safety Special Account,Estimated Actual 2023-2024,7222,0,39097,-39097,0,7222
"INFRASTRUCTURE, TRANSPORT, REGIONAL DEVELOPMENT, COMMUNICATIONS AND THE ARTS PORTFOLIO",,Total: Australian Communications and Media Authority,Agency Resourcing 2024-2025,7222,50,45420,-45470,0,7222
"INFRASTRUCTURE, TRANSPORT, REGIONAL DEVELOPMENT, COMMUNICATIONS AND THE ARTS PORTFOLIO",,Total: Australian Communications and Media Authority,Estimated Actual 2023-2024,7222,50,39097,-39147,0,7222
PRIME MINISTER AND CABINET PORTFOLIO,National Indigenous Australians Agency,Aboriginal and Torres Strait Islander Corporations Unclaimed Money Account,Agency Resourcing 2024-2025,1039,27,0,-12,0,1054
PRIME MINISTER AND CABINET PORTFOLIO,National Indigenous Australians Agency,Aboriginal and Torres Strait Islander Corporations Unclaimed Money Account,Estimated Actual 2023-2024,1024,27,0,-12,0,1039
PRIME MINISTER AND CABINET PORTFOLIO,National Indigenous Australians Agency,Aboriginals Benefit Account,Agency Resourcing 2024-2025,10000,1089485,0,-1456800,367315,10000
PRIME MINISTER AND CABINET PORTFOLIO,National Indigenous Australians Agency,Aboriginals Benefit Account,Estimated Actual 2023-2024,10461,1611018,0,-1984819,373340,10000
PRIME MINISTER AND CABINET PORTFOLIO,National Indigenous Australians Agency,Indigenous Land and Sea Corporation Funding Special Account,Agency Resourcing 2024-2025,0,64755,0,-64755,0,0
PRIME MINISTER AND CABINET PORTFOLIO,National Indigenous Australians Agency,Indigenous Land and Sea Corporation Funding Special Account,Estimated Actual 2023-2024,0,62251,0,-62251,0,0
PRIME MINISTER AND CABINET PORTFOLIO,National Indigenous Australians Agency,IRSD Special Account 2020,Agency Resourcing 2024-2025,68235,0,0,-21459,0,46776
PRIME MINISTER AND CABINET PORTFOLIO,National Indigenous Australians Agency,IRSD Special Account 2020,Estimated Actual 2023-2024,85858,0,0,-17623,0,68235
PRIME MINISTER AND CABINET PORTFOLIO,National Indigenous Australians Agency,NIAA SOETM Special Account 2020,Agency Resourcing 2024-2025,1702,900,400,-1300,0,1702
PRIME MINISTER AND CABINET PORTFOLIO,National Indigenous Australians Agency,NIAA SOETM Special Account 2020,Estimated Actual 2023-2024,2305,1529,400,-2532,0,1702
PRIME MINISTER AND CABINET PORTFOLIO,,Total: National Indigenous Australians Agency,Agency Resourcing 2024-2025,80976,1155167,400,-1544326,367315,59532
PRIME MINISTER AND CABINET PORTFOLIO,,Total: National Indigenous Australians Agency,Estimated Actual 2023-2024,99648,1674825,400,-2067237,373340,80976
SOCIAL SERVICES PORTFOLIO,Department of Social Services,Social Services SOETM Special Account 2021,Agency Resourcing 2024-2025,5000,3384,19917,-23186,0,5115
SOCIAL SERVICES PORTFOLIO,Department of Social Services,Social Services SOETM Special Account 2021,Estimated Actual 2023-2024,1178,3903,21394,-21475,0,5000
SOCIAL SERVICES PORTFOLIO,,Total: Department of Social Services,Agency Resourcing 2024-2025,5000,3384,19917,-23186,0,5115
SOCIAL SERVICES PORTFOLIO,,Total: Department of Social Services,Estimated Actual 2023-2024,1178,3903,21394,-21475,0,5000
SOCIAL SERVICES PORTFOLIO,Services Australia,Child Support Account,Agency Resourcing 2024-2025,71958,1857621,976,-1900109,41512,71958
SOCIAL SERVICES PORTFOLIO,Services Australia,Child Support Account,Estimated Actual 2023-2024,71958,1824178,958,-1865898,40762,71958
SOCIAL SERVICES PORTFOLIO,Services Australia,Recovery of Compensation for Health Care and Other Services  Special Account 2015,Agency Resourcing 2024-2025,139251,592174,0,-592174,0,139251
SOCIAL SERVICES PORTFOLIO,Services Australia,Recovery of Compensation for Health Care and Other Services  Special Account 2015,Estimated Actual 2023-2024,139251,576605,0,-576605,0,139251
SOCIAL SERVICES PORTFOLIO,Services Australia,Services Australia SOETM Special Account 2020,Agency Resourcing 2024-2025,251,1240,0,-1240,0,251
SOCIAL SERVICES PORTFOLIO,Services Australia,Services Australia SOETM Special Account 2020,Estimated Actual 2023-2024,251,1240,0,-1240,0,251
SOCIAL SERVICES PORTFOLIO,,Total: Services Australia,Agency Resourcing 2024-2025,211460,2451035,976,-2493523,41512,211460
SOCIAL SERVICES PORTFOLIO,,Total: Services Australia,Estimated Actual 2023-2024,211460,2402023,958,-2443743,40762,211460
TREASURY PORTFOLIO,Department of the Treasury,COAG Reform Fund,Agency Resourcing 2024-2025,0,109500,0,-27075271,26965771,0
TREASURY PORTFOLIO,Department of the Treasury,COAG Reform Fund,Estimated Actual 2023-2024,24085,2276157,0,-22474545,20174303,0
TREASURY PORTFOLIO,Department of the Treasury,Housing Australia Future Fund Payments Special Account,Agency Resourcing 2024-2025,0,5100,0,-5100,0,0
TREASURY PORTFOLIO,Department of the Treasury,Housing Australia Future Fund Payments Special Account,Estimated Actual 2023-2024,0,0,0,0,0,0
TREASURY PORTFOLIO,Department of the Treasury,Housing Australia Special Account,Agency Resourcing 2024-2025,919591,794764,1546100,-3238396,0,22059
TREASURY PORTFOLIO,Department of the Treasury,Housing Australia Special Account,Estimated Actual 2023-2024,923892,68891,0,-73192,0,919591
TREASURY PORTFOLIO,Department of the Treasury,Medicare Guarantee Fund (Treasury) Special Account,Agency Resourcing 2024-2025,0,0,0,-49608262,49608262,0
TREASURY PORTFOLIO,Department of the Treasury,Medicare Guarantee Fund (Treasury) Special Account,Estimated Actual 2023-2024,0,0,0,-47540157,47540157,0
TREASURY PORTFOLIO,,Total: Department of the Treasury,Agency Resourcing 2024-2025,919591,909364,1546100,-79927029,76574033,22059
TREASURY PORTFOLIO,,Total: Department of the Treasury,Estimated Actual 2023-2024,947977,2345048,0,-70087894,67714460,919591
TREASURY PORTFOLIO,Australian Office of Financial Management,Australian Business Securitisation Fund Special Account,Agency Resourcing 2024-2025,1798852,147501,0,-593000,0,1353353
TREASURY PORTFOLIO,Australian Office of Financial Management,Australian Business Securitisation Fund Special Account,Estimated Actual 2023-2024,1216421,209223,0,-126792,500000,1798852
TREASURY PORTFOLIO,Australian Office of Financial Management,Structured Finance Support (Coronavirus Economic Response) Fund Special Account,Agency Resourcing 2024-2025,14951958,128840,0,0,0,15080798
TREASURY PORTFOLIO,Australian Office of Financial Management,Structured Finance Support (Coronavirus Economic Response) Fund Special Account,Estimated Actual 2023-2024,14759997,238890,0,-46929,0,14951958
TREASURY PORTFOLIO,,Total: Australian Office of Financial Management,Agency Resourcing 2024-2025,16750810,276341,0,-593000,0,16434151
TREASURY PORTFOLIO,,Total: Australian Office of Financial Management,Estimated Actual 2023-2024,15976418,448113,0,-173721,500000,16750810
TREASURY PORTFOLIO,Australian Prudential Regulation Authority,Australian Prudential Regulation Authority Special Account,Agency Resourcing 2024-2025,71162,4542,16361,-258026,246108,80147
TREASURY PORTFOLIO,Australian Prudential Regulation Authority,Australian Prudential Regulation Authority Special Account,Estimated Actual 2023-2024,60907,5242,9364,-229203,224852,71162
TREASURY PORTFOLIO,Australian Prudential Regulation Authority,Financial Claims Scheme Special Account,Agency Resourcing 2024-2025,970,0,0,0,0,970
TREASURY PORTFOLIO,Australian Prudential Regulation Authority,Financial Claims Scheme Special Account,Estimated Actual 2023-2024,970,0,0,0,0,970
TREASURY PORTFOLIO,Australian Prudential Regulation Authority,Private Health Insurance Risk Equalisation Special Account,Agency Resourcing 2024-2025,0,400000,0,-400000,0,0
TREASURY PORTFOLIO,Australian Prudential Regulation Authority,Private Health Insurance Risk Equalisation Special Account,Estimated Actual 2023-2024,0,400000,0,-400000,0,0
TREASURY PORTFOLIO,,Total: Australian Prudential Regulation Authority,Agency Resourcing 2024-2025,72132,404542,16361,-658026,246108,81117
TREASURY PORTFOLIO,,Total: Australian Prudential Regulation Authority,Estimated Actual 2023-2024,61877,405242,9364,-629203,224852,72132
TREASURY PORTFOLIO,Australian Securities and Investments Commission,Enforcement Special Account 2016,Agency Resourcing 2024-2025,94929,0,56253,-56253,0,94929
TREASURY PORTFOLIO,Australian Securities and Investments Commission,Enforcement Special Account 2016,Estimated Actual 2023-2024,78625,16304,56504,-56504,0,94929
TREASURY PORTFOLIO,,Total: Australian Securities and Investments Commission,Agency Resourcing 2024-2025,94929,0,56253,-56253,0,94929
TREASURY PORTFOLIO,,Total: Australian Securities and Investments Commission,Estimated Actual 2023-2024,78625,16304,56504,-56504,0,94929
TREASURY PORTFOLIO,Australian Taxation Office,Australian Charities and Not-for-profits Commission Special  Account,Agency Resourcing 2024-2025,14644,0,18508,-18508,0,14644
TREASURY PORTFOLIO,Australian Taxation Office,Australian Charities and Not-for-profits Commission Special  Account,Estimated Actual 2023-2024,14644,0,18232,-18232,0,14644
TREASURY PORTFOLIO,Australian Taxation Office,Superannuation Holding Accounts Special Account,Agency Resourcing 2024-2025,86515,25250,0,-21530,0,90235
TREASURY PORTFOLIO,Australian Taxation Office,Superannuation Holding Accounts Special Account,Estimated Actual 2023-2024,81505,22210,0,-17200,0,86515
TREASURY PORTFOLIO,Australian Taxation Office,Tax Practitioners Board Special Account,Agency Resourcing 2024-2025,0,4425,27540,-31965,0,0
TREASURY PORTFOLIO,Australian Taxation Office,Tax Practitioners Board Special Account,Estimated Actual 2023-2024,0,0,0,0,0,0
TREASURY PORTFOLIO,,Total: Australian Taxation Office,Agency Resourcing 2024-2025,101159,29675,46048,-72003,0,104879
TREASURY PORTFOLIO,,Total: Australian Taxation Office,Estimated Actual 2023-2024,96149,22210,18232,-35432,0,101159
TREASURY PORTFOLIO,Royal Australian Mint,Royal Australian Mint Special Account,Agency Resourcing 2024-2025,0,0,0,0,0,0
